,,,,,,,,,,,,
,,,,,,,,Compresstome,,,,
7/24/2025,142,9,14,,,,,,,,,
7/24/2025,143,9,14,,,,,,,,,
7/24/2025,144,9,14,,,,,,,,,sliced twice
7/24/2025,145,9,14,,,,,,,,,
7/24/2025,146,9,14,,,,,,,,,
7/24/2025,147,9,14,,,,,,,,,
7/24/2025,148,9,14,,,,,,,,,
7/25/2025,149,9,14,21.0593        72.3926,,,,,,,,
7/25/2025,150,9,14,,,,,,,,,
7/25/2025,151,9,14,,,,,,,,,
7/25/2025,152,9,14,,,,,,,,,
7/25/2025,153,9,14,,,,,,,,,
7/25/2025,154,9,14,,,,,,,,,
7/25/2025,155,9,14,,,,,,,,,
7/28/2025,156,9,14,,,,,,,,,
7/28/2025,157,9,14,,,,,,,,,
7/28/2025,158,9,14,,,,,,,,,
7/28/2025,159,9,14,,,,,,,,,
7/28/2025,160,9,14,,,,,,,,,
7/29/2025,161,9,14,21.0593        72.3926,,,,,,,,
7/29/2025,162,9,14,,,,,,,,,
7/29/2025,163,9,14,,,,,,,,,
7/29/2025,164,9,14,,,,,,,,,
7/29/2025,165,8,14,,,,,,,,,
7/29/2025,166,8,14,,,,,,,,,
7/29/2025,167,8,14,,,,,,,,,
7/31/2025,168,8,14,,,,,,,,,
7/31/2025,169,8,14,,,,,,,,,
7/31/2025,170,8,14,,,,,,,,,
7/31/2025,171,8,14,,,,,,,,,
7/31/2025,172,8,14,,,,,,,,,
7/31/2025,173,8,14,,,,,,,,,
7/31/2025,174,8,13,21.0593,77.3926,,,,,,,
7/31/2025,175,8,13,21.0593,76.3926,,,,,,,
8/1/2025,176,8,13,,,,,,,,,
8/1/2025,177,8,13,,,,,,,,,
8/1/2025,178,8,13,,,,,,,,,
8/1/2025,179,8,13,,,,,,,,,
8/1/2025,180,8,13,,,,,,,,,
8/4/2025,181,8,13,21.0593,76.3926,,,,,,,sliced twice
8/4/2025,182,8,13,,,,,,,,,
8/4/2025,183,8,13,,,,,,,,,
8/4/2025,184,8,13,,,,,,,,,
8/4/2025,185,8,13,,,,,,,,,
8/5/2025,186,8,13,21.0593,76.3926,,,,,,,
8/5/2025,187,8,13,,,,,,,,,
8/5/2025,188,8,13,,,,,,,,,
8/5/2025,189,8,13,,,,,,,,,
8/5/2025,190,8,13,,,,,,,,,
8/7/2025,191,8,12,21.0593,81.3926,,,,,,,
8/7/2025,192,8,12,,,,,,,,,
8/7/2025,193,8,12,,,,,,,,,
8/7/2025,194,8,12,,,,,,,,,
8/7/2025,195,8,12,,,,,,,,,
8/7/2025,196,8,12,,,,,,,,,
8/7/2025,197,8,12,,,,,,,,,
8/8/2025,198,8,12,,,,,,,,,
8/8/2025,199,8,12,,,,,,,,,
8/8/2025,200,8,12,,,,,,,,,
8/8/2025,201,8,12,,,,,,,,,
8/8/2025,202,7,12,25.8593,81.3926,,,,,,,
8/8/2025,203,7,12,,,,,,,,,
8/8/2025,204,7,12,,,,,,,,,
8/11/2025,205,7,12,,,,,,,,,
8/11/2025,206,7,11,25.8593,83.8926,,,,,,,
8/11/2025,207,7,11,,,,,,,,,
8/11/2025,208,7,11,,,,,,,,,
8/11/2025,209,7,11,,,,,,,,,
8/11/2025,210,7,11,,,,,,,,,
8/11/2025,211,7,11,,,,,,,,,
8/12/2025,212,7,10,25.8593,86.3926,,,,,,,
8/12/2025,213,7,10,,,,,,,,,
8/12/2025,214,6,10,28.5593,86.3926,,,,,,,
8/12/2025,215,6,10,,,,,,,,,
8/12/2025,216,6,10,,,,,,,,,
8/12/2025,217,6,10,,,,,,,,,
8/12/2025,218,6,10,,,,,,,,,
8/12/2025,219,6,10,,,,,,,,,
8/12/2025,220,6,10,,,,,,,,,
8/12/2025,221,6,10,,,,,,,,,
8/13/2025,222,6,9,,,,,,,,,"after pushing the plunger up for 200um - first cut was much thinner than expected—measuring under 50 µm. In contrast, the second slice was noticeably thicker than the intended thickness.(200um)"
8/13/2025,223,6,9,,,,,,,,,it sliced 200um in the first push 
8/13/2025,224,6,9,,,,,,,,,slice 2 times got a very thin cut - 3rd time got a correct cut
8/13/2025,225,6,9,,,,,,,,,cut was perfect for one push
8/13/2025,226,5,8,31.0593,92.5926,,,,,,,pushed the plunger twice for a good cut.
8/13/2025,227,5,8,,,,,,,,,pushed the plunger twice for a good cut.
8/13/2025,228,5,8,,,,,,,,,"plunger dint move up for the first push, second push cut was thinner"
8/15/2025,229,5,7,,,,,,,,,cut was good with one push 
8/15/2025,230,5,7,,,,,,,,,
8/15/2025,231,5,7,31.0593,95.5926,,,,,,,plunger moved with good push
8/15/2025,232,5,7,,,,,,,,,plunger dint move up 2 times - at the 3rd time it sliced
8/15/2025,233,5,7,,,,,,,,,plunger moved in the second push
8/15/2025,234,5,7,,,,,,,,,good cut for the first push
8/15/2025,235,5,7,,,,,,,,,2 times
8/15/2025,236,4,6,33.5593,98.5926,,,,,,,plunger moved twice
8/15/2025,237,4,6,,,,,,,,,good cut for the first push
8/15/2025,238,4,6,,,,,,,,,had to move the plunger for 2 times for a good cut
8/15/2025,239,4,6,,,,,,,,,had to move the plunger for 2 times for a good cut
8/15/2025,240,4,5,33.5593,101.093,,,,,,,good cut for the first push
8/15/2025,241,4,5,,,,,,,,,goog cut for the first push
8/15/2025,242,4,5,,,,,,,,,had to move the plunger for 2 times for a good cut
8/15/2025,243,3,4,37.3593,103.593,,,,,,,had to move the plunger for 2 times for a good cut
8/15/2025,244,3,4,,,,,,,,,sliced in the first cut
8/15/2025,245,3,4,,,,,,,,,
